system_id,vertcon_stats,difference_stats,location,metadata
2205000003,"{'mean_offset': 0.4285698687506516, 'std_offset': 0.0010858530780348602, 'min_offset': 0.4261070362515884, 'max_offset': 0.4304143059088753, 'valid_points': 505}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 35.21896588423299, 'longitude': -106.59812369732809}",{}
5205000273,"{'mean_offset': 0.8167545184603592, 'std_offset': 0.0009001453084205086, 'min_offset': 0.8148760294484719, 'max_offset': 0.817968692222343, 'valid_points': 479}","{'mean_diff': 0.9133896082470262, 'std_diff': 0.08701127183598266, 'min_diff': 0.6980486333113163, 'max_diff': 1.27476295568988}","{'latitude': 39.17107950701143, 'longitude': -122.90913062548616}",{}
5205000454,"{'mean_offset': 0.8443911487319705, 'std_offset': 0.0018354872425770587, 'min_offset': 0.8420940012155013, 'max_offset': 0.8475467977652701, 'valid_points': 46}","{'mean_diff': 0.937465118033941, 'std_diff': 0.14601340374375749, 'min_diff': 0.6081424284700674, 'max_diff': 1.484347305868937}","{'latitude': 39.93952292105259, 'longitude': -122.06878471764286}",{}
2205000071,"{'mean_offset': 0.4269585375620672, 'std_offset': 0.0001491945178019172, 'min_offset': 0.4267055507444922, 'max_offset': 0.42723228422462184, 'valid_points': 102}","{'mean_diff': 0.4169152624395217, 'std_diff': 0.05510036108498301, 'min_diff': 0.3106050969931857, 'max_diff': 0.5980975475836203}","{'latitude': 35.17646375481029, 'longitude': -106.6018231138344}",{}
4705000009,"{'mean_offset': -0.028406806555319214, 'std_offset': 0.0010161820529189709, 'min_offset': -0.02927609866293633, 'max_offset': -0.02619535884364958, 'valid_points': 1530}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 41.839846626332566, 'longitude': -96.01638609443752}",{}
6005000020,"{'mean_offset': 0.6773210671459812, 'std_offset': 0.0013638822295011146, 'min_offset': 0.6750875395002209, 'max_offset': 0.681013619397447, 'valid_points': 140}","{'mean_diff': 2.355689335840181, 'std_diff': 0.6120867304790205, 'min_diff': 1.4189180142468558, 'max_diff': 4.30308393189739}","{'latitude': 43.733150613657024, 'longitude': -112.10372887404343}",{}
4305000031,"{'mean_offset': -0.551508955382735, 'std_offset': 2.375499573018754e-05, 'min_offset': -0.5515504417666468, 'max_offset': -0.5514782348882099, 'valid_points': 47}","{'mean_diff': -0.4858528209599466, 'std_diff': 0.0571525829702035, 'min_diff': -0.6876952113096877, 'max_diff': -0.3626123951900979}","{'latitude': 42.26228301985597, 'longitude': -72.24823932856087}",{}
5205000462,"{'mean_offset': 0.7970430615894539, 'std_offset': 0.0007541678381827778, 'min_offset': 0.7950142661833572, 'max_offset': 0.7978540212324348, 'valid_points': 293}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 40.05611188079258, 'longitude': -122.1567796278595}",{}
6005000595,"{'mean_offset': 0.533889489261968, 'std_offset': 1.912718722103189e-05, 'min_offset': 0.5338508567508373, 'max_offset': 0.5339096661343854, 'valid_points': 89}","{'mean_diff': 0.6070706416057152, 'std_diff': 0.09611712806170714, 'min_diff': 0.2945259012923884, 'max_diff': 0.8906893740609689}","{'latitude': 46.477290147926254, 'longitude': -116.25546431864943}",{}
2205000035,"{'mean_offset': 0.4382409443958785, 'std_offset': 0.0005293068037270133, 'min_offset': 0.437167436489973, 'max_offset': 0.4390260280176582, 'valid_points': 529}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 31.844986435828375, 'longitude': -106.57141436598369}",{}
